stock_code,stock_name,trade_date,open_price,high_price,low_price,close_price,volume
000660,SK하이닉스,2020-02-11,99900,100500,99000,99800,1820578
000660,SK하이닉스,2020-02-12,100500,101000,99100,100000,2616573
000660,SK하이닉스,2020-02-13,101000,103500,100500,102000,3519491
000660,SK하이닉스,2020-02-14,101500,105000,101000,104500,1893163
000660,SK하이닉스,2020-02-17,104500,106000,103500,105000,1190162
000660,SK하이닉스,2020-02-18,104000,104500,101500,102000,2789667
000660,SK하이닉스,2020-02-19,102500,103500,101000,103500,2315634
000660,SK하이닉스,2020-02-20,104500,106000,102500,104000,3093782
000660,SK하이닉스,2020-02-21,101500,103500,101000,103000,4064719
000660,SK하이닉스,2020-02-24,100500,100500,98900,99500,5550758
000660,SK하이닉스,2020-02-25,97800,99100,96400,98000,6594059
000660,SK하이닉스,2020-02-26,95500,96100,94400,94600,6405409
000660,SK하이닉스,2020-02-27,94700,95300,92200,92800,4644449
000660,SK하이닉스,2020-02-28,91000,92200,87700,87900,8171939
000660,SK하이닉스,2020-03-02,90000,93100,88300,92100,6382279
000660,SK하이닉스,2020-03-03,95000,95100,92400,92800,5573006
000660,SK하이닉스,2020-03-04,91300,95000,91300,94300,4984561
000660,SK하이닉스,2020-03-05,95200,95900,93800,94900,4028776
000660,SK하이닉스,2020-03-06,93300,94300,92000,92600,3281612
000660,SK하이닉스,2020-03-09,92600,92600,92600,92600,0
000660,SK하이닉스,2020-03-10,86900,89400,86600,89100,6579153
000660,SK하이닉스,2020-03-11,88200,88500,85100,85500,5226251
000660,SK하이닉스,2020-03-12,83800,84600,79600,82800,8191818
000660,SK하이닉스,2020-03-13,76900,84700,76000,82500,8160758
000660,SK하이닉스,2020-03-16,83700,84800,80400,80600,5097762
000660,SK하이닉스,2020-03-17,77500,83100,77000,80400,7107436
000660,SK하이닉스,2020-03-18,81600,82500,73000,73100,7949482
000660,SK하이닉스,2020-03-19,75500,75800,65800,69000,11140367
000660,SK하이닉스,2020-03-20,71800,76200,70100,74800,8750101
000660,SK하이닉스,2020-03-23,69700,71600,68000,69400,8192363
000660,SK하이닉스,2020-03-24,73000,78800,72100,78700,7247345
000660,SK하이닉스,2020-03-25,82000,84700,79800,84500,8787217
000660,SK하이닉스,2020-03-26,85000,87900,80400,80700,7895289
000660,SK하이닉스,2020-03-27,85700,85700,80500,83300,8085695
000660,SK하이닉스,2020-03-30,81000,84900,80000,83700,5270037
000660,SK하이닉스,2020-03-31,84000,85500,82000,83300,5333479
000660,SK하이닉스,2020-04-01,82100,83200,78400,78400,6845675
000660,SK하이닉스,2020-04-02,78800,80000,76500,80000,5394371
000660,SK하이닉스,2020-04-03,80000,80800,78500,79600,3755301
000660,SK하이닉스,2020-04-06,81000,83300,80200,83100,5784159
000660,SK하이닉스,2020-04-07,86600,86700,83700,85800,6188649
000660,SK하이닉스,2020-04-08,85800,86500,84500,84500,3749575
000660,SK하이닉스,2020-04-09,86200,86500,84500,85000,3555538
000660,SK하이닉스,2020-04-10,84000,84400,83000,84100,3675338
000660,SK하이닉스,2020-04-13,83200,83400,81100,81400,3615318
000660,SK하이닉스,2020-04-14,82200,83700,81200,82300,3344109
000660,SK하이닉스,2020-04-16,80600,82300,80600,81300,4470072
000660,SK하이닉스,2020-04-17,83600,85900,83200,84100,6205624
000660,SK하이닉스,2020-04-20,83900,83900,82000,82000,5027876
000660,SK하이닉스,2020-04-21,80600,82200,80200,81300,5090721
000660,SK하이닉스,2020-04-22,80600,83900,80000,83900,5335787
000660,SK하이닉스,2020-04-23,85200,85200,82000,82600,6519481
000660,SK하이닉스,2020-04-24,82000,82500,80800,81400,3193144
000660,SK하이닉스,2020-04-27,81700,83200,81200,82600,3235430
000660,SK하이닉스,2020-04-28,82500,83900,82400,83400,3205535
000660,SK하이닉스,2020-04-29,83500,84800,82900,83700,3750568
035420,NAVER,2020-02-03,178000,180500,176000,177500,485913
035420,NAVER,2020-02-04,177500,181500,175000,180500,563463
035420,NAVER,2020-02-05,181000,183500,178500,181500,653809
035420,NAVER,2020-02-06,182500,183500,180500,181500,659850
035420,NAVER,2020-02-07,181500,188500,181000,185000,728633
035420,NAVER,2020-02-10,182500,184000,180500,183500,433051
035420,NAVER,2020-02-11,183500,185000,183000,184500,400386
035420,NAVER,2020-02-12,183000,185000,181500,185000,351892
035420,NAVER,2020-02-13,184000,185000,183000,184500,555923
035420,NAVER,2020-02-14,184000,187500,184000,186500,659429
035420,NAVER,2020-02-17,184500,189000,184500,188500,312407
035420,NAVER,2020-02-18,186500,188500,185500,186500,345642
035420,NAVER,2020-02-19,188000,191000,185000,189500,560743
035420,NAVER,2020-02-20,189500,191500,187500,190000,427402
035420,NAVER,2020-02-21,187500,191000,187000,189500,434019
035420,NAVER,2020-02-24,185500,187500,183500,184000,567036
035420,NAVER,2020-02-25,184000,191000,183500,190500,704859
035420,NAVER,2020-02-26,189500,190000,186500,187000,494066
035420,NAVER,2020-02-27,185000,187000,179000,182000,535696
035420,NAVER,2020-02-28,179000,180000,172000,174000,830654
035420,NAVER,2020-03-02,175000,177000,172500,175000,659376
035420,NAVER,2020-03-03,179000,180000,174000,175000,544379
035420,NAVER,2020-03-04,174500,179500,173000,178500,450252
035420,NAVER,2020-03-05,180500,181000,178500,181000,483840
035420,NAVER,2020-03-06,179500,181000,177500,179500,293897
035420,NAVER,2020-03-09,179500,179500,179500,179500,0
035420,NAVER,2020-03-10,168000,176000,165000,172000,666532
035420,NAVER,2020-03-11,172000,174000,167500,170000,483822
035420,NAVER,2020-03-12,170000,170000,170000,170000,0
035420,NAVER,2020-03-13,151000,168000,149500,166000,1242510
035420,NAVER,2020-03-16,166000,166500,155000,155000,812823
035420,NAVER,2020-03-17,147500,155500,147000,151000,979243
035420,NAVER,2020-03-18,152500,156000,146000,146000,666723
035420,NAVER,2020-03-19,150000,151500,135000,144000,1154230
035420,NAVER,2020-03-20,147500,156500,146000,154000,997895
035420,NAVER,2020-03-23,141500,149500,140000,143000,1033851
035420,NAVER,2020-03-24,151500,157000,148000,156000,960786
035420,NAVER,2020-03-25,160500,163000,152000,156000,1039579
035420,NAVER,2020-03-26,156000,158000,149500,152500,988725
035420,NAVER,2020-03-27,161500,164500,158500,164000,1217815
035420,NAVER,2020-03-30,160000,165000,159000,162500,630830
035420,NAVER,2020-03-31,163500,171000,163500,170000,858165
035420,NAVER,2020-04-01,166500,171000,163000,163000,720283
035420,NAVER,2020-04-02,166500,175000,164500,173500,1086863
035420,NAVER,2020-04-03,170000,172500,168000,172000,663454
035420,NAVER,2020-04-06,173500,176000,170500,173000,655547
035420,NAVER,2020-04-07,174000,174500,167500,169500,873091
035420,NAVER,2020-04-08,169000,169500,166500,166500,588577
035420,NAVER,2020-04-09,168500,169000,165000,167500,682921
035420,NAVER,2020-04-10,166000,167000,164000,166500,483720
035420,NAVER,2020-04-13,164500,168000,162500,166000,413768
035420,NAVER,2020-04-14,168000,170000,166500,168500,520725
035420,NAVER,2020-04-16,168000,172500,167500,170500,841066
035420,NAVER,2020-04-17,175500,180000,173500,179000,900031
035420,NAVER,2020-04-20,181000,182000,179000,180000,663723
035420,NAVER,2020-04-21,180500,181500,173500,178500,759150
035420,NAVER,2020-04-22,175000,182500,173000,182000,611589
035420,NAVER,2020-04-23,190000,196000,186500,190000,1521478
035420,NAVER,2020-04-24,189000,197500,189000,192500,928695
035420,NAVER,2020-04-27,193000,200000,192500,197500,927347
035420,NAVER,2020-04-28,197500,198000,194500,198000,433549
035420,NAVER,2020-04-29,199500,200000,196500,197500,676743
051910,LG화학,2020-02-03,328500,351500,325500,350000,594448
051910,LG화학,2020-02-04,364500,385000,361500,379500,995237
051910,LG화학,2020-02-05,391000,391500,377000,382000,731711
051910,LG화학,2020-02-06,374500,385000,372500,382000,551088
051910,LG화학,2020-02-07,377000,391500,377000,386500,392312
051910,LG화학,2020-02-10,382500,390000,381000,387000,291904
051910,LG화학,2020-02-11,394500,420000,393500,413500,983089
051910,LG화학,2020-02-12,408500,412000,403500,408000,463511
051910,LG화학,2020-02-13,408500,418000,408000,411500,448366
051910,LG화학,2020-02-14,416500,420000,412000,413500,301730
051910,LG화학,2020-02-17,420500,422500,409000,419500,514355
051910,LG화학,2020-02-18,418000,422000,415000,418000,366288
051910,LG화학,2020-02-19,420500,421500,403500,404000,766920
051910,LG화학,2020-02-20,408500,422000,406000,419000,482732
051910,LG화학,2020-02-21,407000,416500,406500,407000,400924
051910,LG화학,2020-02-24,392000,400000,391500,395000,463848
051910,LG화학,2020-02-25,395500,400500,391500,399500,478820
051910,LG화학,2020-02-26,394000,398000,387000,395000,334971
051910,LG화학,2020-02-27,394000,398000,384000,388000,345104
051910,LG화학,2020-02-28,376500,380000,366500,368000,643995
051910,LG화학,2020-03-02,368500,385000,362500,377000,514325
051910,LG화학,2020-03-03,393000,398500,384500,386500,547921
051910,LG화학,2020-03-04,383500,398500,382000,392000,478790
051910,LG화학,2020-03-05,407500,412000,402000,406000,645954
051910,LG화학,2020-03-06,401000,404000,395500,400000,357631
051910,LG화학,2020-03-09,400000,400000,400000,400000,0
051910,LG화학,2020-03-10,371000,380000,368000,373500,660399
051910,LG화학,2020-03-11,374000,377500,362000,365000,447847
051910,LG화학,2020-03-12,365000,365000,365000,365000,0
051910,LG화학,2020-03-13,315000,343500,313000,340500,899561
051910,LG화학,2020-03-16,343000,348000,312500,312500,747892
051910,LG화학,2020-03-17,295000,315500,294500,306500,819960
051910,LG화학,2020-03-18,307500,312000,280000,280000,946373
051910,LG화학,2020-03-19,284500,285500,230000,230000,1394682
051910,LG화학,2020-03-20,246000,273000,242000,272500,1306067
051910,LG화학,2020-03-23,249500,286500,248500,268000,947838
051910,LG화학,2020-03-24,283500,297500,274000,288000,966345
051910,LG화학,2020-03-25,310000,316500,296500,307500,803831
051910,LG화학,2020-03-26,309500,314000,297500,299500,720792
051910,LG화학,2020-03-27,313000,314500,292500,303500,648602
051910,LG화학,2020-03-30,291000,307000,289500,303000,473701
051910,LG화학,2020-03-31,306500,309500,298500,305000,492967
051910,LG화학,2020-04-01,305000,307000,292000,292000,599459
051910,LG화학,2020-04-02,292000,294500,280000,291000,688886
051910,LG화학,2020-04-03,300000,304500,285500,290500,540101
051910,LG화학,2020-04-06,295000,297000,290500,296500,494846
051910,LG화학,2020-04-07,307000,309500,301000,309000,717617
051910,LG화학,2020-04-08,308500,319500,306500,313000,616801
051910,LG화학,2020-04-09,319000,324500,317000,324500,470177
051910,LG화학,2020-04-10,324500,326000,318500,324000,313697
051910,LG화학,2020-04-13,325500,325500,314000,315000,298575
051910,LG화학,2020-04-14,327500,329000,321000,326500,436161
051910,LG화학,2020-04-16,327500,345000,327000,343000,621763
051910,LG화학,2020-04-17,352500,376000,352000,362500,753764
051910,LG화학,2020-04-20,362500,369500,351000,351500,504864
051910,LG화학,2020-04-21,348000,359500,343500,354000,710608
051910,LG화학,2020-04-22,346500,357000,345500,355000,362008
051910,LG화학,2020-04-23,360000,361500,356500,361000,343123
051910,LG화학,2020-04-24,358000,358500,350000,353500,270535
051910,LG화학,2020-04-27,353500,357000,348000,353500,445576
